entry,name,SMILES,InChIKey,temperature,ΔΔG.expt.,test
b42,"24-nor-5β-chol-22-ene-3,6-dione (cis-6ol to cis-3ol)",O=[13C]1C[C@H]2[C@H](O)C[C@H]3[C@@H]4CC[C@H]([C@H](C)C=C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1,MTFFDDCFMIWJPC-CMOIDRFCSA-N,273,,1
c1,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one  (diketone to trans-1ol)",O=[13C]1C[C@@H](c2ccccc2)[C@@H](C(=O)(c3ccccc3))c4ccccc14,JZYUFCHBGFELAZ-DVPIJTCCSA-N,298,,1
c2,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one  (diketone to cis-1ol)",O=[13C]1C[C@H](c2ccccc2)[C@H](C(=O)(c3ccccc3))c4ccccc14,JZYUFCHBGFELAZ-LRLPPDEGSA-N,298,,1
c3,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one  (diketone to trans-methanol)",O=[13C](c1ccccc1)[C@@H]2[C@H](c3ccccc3)CC(=O)c4ccccc24,JZYUFCHBGFELAZ-BROKRERSSA-N,298,,1
c4,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one  (diketone to cis-methanol)",O=[13C](c1ccccc1)[C@H]2[C@@H](c3ccccc3)CC(=O)c4ccccc24,JZYUFCHBGFELAZ-OYPDEIEDSA-N,298,,1
c13,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one (trans-1ol to trans-methanol)",O=[13C](c1ccccc1)[C@@H]2[C@H](c3ccccc3)C[C@@H](O)c4ccccc24,CPGUTDZBKMREHK-QFFGSERESA-N,298,,1
c14,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one (trans-1ol to cis-methanol)",O=[13C](c1ccccc1)[C@H]2[C@@H](c3ccccc3)C[C@H](O)c4ccccc24,CPGUTDZBKMREHK-PSJJKCFBSA-N,298,,1
c23,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one (cis-1ol to trans-methanol)",O=[13C](c1ccccc1)[C@@H]2[C@H](c3ccccc3)C[C@H](O)c4ccccc24,CPGUTDZBKMREHK-VNSKILTCSA-N,298,,1
c24,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one (cis-1ol to cis-methanol)",O=[13C](c1ccccc1)[C@H]2[C@@H](c3ccccc3)C[C@@H](O)c4ccccc24,CPGUTDZBKMREHK-WPLBZINNSA-N,298,,1
c31,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one (trans-methanol to trans-1ol)",O=[13C]1C[C@@H](c2ccccc2)[C@@H]([C@H](O)(c3ccccc3))c4ccccc14,DLDDAANYSAREPT-WWFPUDJXSA-N,298,,1
c32,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one (trans-methanol to cis-1ol)",O=[13C]1C[C@H](c2ccccc2)[C@H]([C@@H](O)(c3ccccc3))c4ccccc14,DLDDAANYSAREPT-RZXYCCSUSA-N,298,,1
c41,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one (cis-methanol to trans-1ol)",O=[13C]1C[C@@H](c2ccccc2)[C@@H]([C@@H](O)(c3ccccc3))c4ccccc14,DLDDAANYSAREPT-ZAXYEOTCSA-N,298,,1
c42,"4-benzoyl-3-phenyl-3,4-dihydronaphthalen-1(2H)-one (cis-methanol to cis-1ol)",O=[13C]1C[C@H](c2ccccc2)[C@H]([C@H](O)(c3ccccc3))c4ccccc14,DLDDAANYSAREPT-RWZHDOEGSA-N,298,,1
d1,"5-benzoyloctahydro-7-nitro-3-oxo-4,6-diphenyl-1H-indene-5-carbonitrile (diketone to trans-3ol)",O=[13C]1[C@@H]2[C@@H](c3ccccc3)[C@](C#N)(C(=O)c4ccccc4)[C@@H](c5ccccc5)[C@H]([N+]([O-])=O)[C@@H]2CC1,PLSRWRBYAQQGNN-YMICIMMMSA-N,273,,1
d2,"5-benzoyloctahydro-7-nitro-3-oxo-4,6-diphenyl-1H-indene-5-carbonitrile (diketone to cis-3ol)",O=[13C]1[C@H]2[C@H](c3ccccc3)[C@@](C#N)(C(=O)c4ccccc4)[C@H](c5ccccc5)[C@@H]([N+]([O-])=O)[C@H]2CC1,PLSRWRBYAQQGNN-PGRCEAHZSA-N,273,,1
d3,"5-benzoyloctahydro-7-nitro-3-oxo-4,6-diphenyl-1H-indene-5-carbonitrile (diketone to trans-methanol)",c1ccccc1[13C](=O)[C@@]2(C#N)[C@H](c3ccccc3)[C@@H]([N+]([O-])=O)[C@H]4CCC(=O)[C@H]4[C@@H]2c5ccccc5,PLSRWRBYAQQGNN-UWMVLEJGSA-N,273,,1
d4,"5-benzoyloctahydro-7-nitro-3-oxo-4,6-diphenyl-1H-indene-5-carbonitrile (diketone to cis-methanol)",c1ccccc1[13C](=O)[C@]2(C#N)[C@@H](c3ccccc3)[C@H]([N+]([O-])=O)[C@@H]4CCC(=O)[C@@H]4[C@H]2c5ccccc5,PLSRWRBYAQQGNN-DDOBXCKSSA-N,273,,1
d13,"5-benzoyloctahydro-7-nitro-3-oxo-4,6-diphenyl-1H-indene-5-carbonitrile (trans-3ol to trans-methanol)",c1ccccc1[13C](=O)[C@@]2(C#N)[C@H](c3ccccc3)[C@@H]([N+]([O-])=O)[C@H]4CC[C@@H](O)[C@H]4[C@@H]2c5ccccc5,PVVDMQFIFUBDPK-DBCKSZCESA-N,273,,1
d14,"5-benzoyloctahydro-7-nitro-3-oxo-4,6-diphenyl-1H-indene-5-carbonitrile (trans-3ol to cis-methanol)",c1ccccc1[13C](=O)[C@]2(C#N)[C@@H](c3ccccc3)[C@H]([N+]([O-])=O)[C@@H]4CC[C@H](O)[C@@H]4[C@H]2c5ccccc5,PVVDMQFIFUBDPK-JIFCSIQBSA-N,273,,1
d23,"5-benzoyloctahydro-7-nitro-3-oxo-4,6-diphenyl-1H-indene-5-carbonitrile (cis-3ol to trans-methanol)",c1ccccc1[13C](=O)[C@@]2(C#N)[C@H](c3ccccc3)[C@@H]([N+]([O-])=O)[C@H]4CC[C@H](O)[C@H]4[C@@H]2c5ccccc5,PVVDMQFIFUBDPK-NDZOIIPPSA-N,273,,1
d24,"5-benzoyloctahydro-7-nitro-3-oxo-4,6-diphenyl-1H-indene-5-carbonitrile (cis-3ol to cis-methanol)",c1ccccc1[13C](=O)[C@]2(C#N)[C@@H](c3ccccc3)[C@H]([N+]([O-])=O)[C@@H]4CC[C@@H](O)[C@@H]4[C@H]2c5ccccc5,PVVDMQFIFUBDPK-GTENJMHGSA-N,273,,1
