row_index,entry,name,InChIKey,conf_id,boltzmann_weight,cache_file
32,A17,"2,2-dimethyl-1-phenylpropan-1-one",OECPUBRNDKXFDX-UHFFFAOYSA-N,97,0.5,OECPUBRNDKXFDX-UHFFFAOYSA-N_conf97.npy
33,A10,3'-chloroacetophenone,UUWJBXKHMMQDED-UHFFFAOYSA-N,268,0.5379026154840522,UUWJBXKHMMQDED-UHFFFAOYSA-N_conf268.npy
33,A10,3'-chloroacetophenone,UUWJBXKHMMQDED-UHFFFAOYSA-N,269,0.4620973845159477,UUWJBXKHMMQDED-UHFFFAOYSA-N_conf269.npy
34,B10,dibenzosuberenone,SNVTZAIYUGUKNI-KCKQSJSWSA-N,182,0.5,SNVTZAIYUGUKNI-KCKQSJSWSA-N_conf182.npy
34,B10,dibenzosuberenone,SNVTZAIYUGUKNI-KCKQSJSWSA-N,411,0.5,SNVTZAIYUGUKNI-KCKQSJSWSA-N_conf411.npy
35,E2(endo),2-norbornanone (endo),KPMKEVXVVHNIEY-PRJDIBJQSA-N,35,1.0,KPMKEVXVVHNIEY-PRJDIBJQSA-N_conf35.npy
36,E2(exo),2-norbornanone (exo),KPMKEVXVVHNIEY-GDVGLLTNSA-N,130,1.0,KPMKEVXVVHNIEY-GDVGLLTNSA-N_conf130.npy
37,D5,cycloheptanone,CGZZMOTZOONQIA-HOSYLAQJSA-N,62,0.6611405833171894,CGZZMOTZOONQIA-HOSYLAQJSA-N_conf62.npy
37,D5,cycloheptanone,CGZZMOTZOONQIA-HOSYLAQJSA-N,15,0.3301600554488644,CGZZMOTZOONQIA-HOSYLAQJSA-N_conf15.npy
37,D5,cycloheptanone,CGZZMOTZOONQIA-HOSYLAQJSA-N,196,0.002993605583538,CGZZMOTZOONQIA-HOSYLAQJSA-N_conf196.npy
37,D5,cycloheptanone,CGZZMOTZOONQIA-HOSYLAQJSA-N,205,0.002993605583538,CGZZMOTZOONQIA-HOSYLAQJSA-N_conf205.npy
37,D5,cycloheptanone,CGZZMOTZOONQIA-HOSYLAQJSA-N,63,0.00271215006687,CGZZMOTZOONQIA-HOSYLAQJSA-N_conf63.npy
38,C7,"1,1-diphenylacetone",DBNWBEGCONIRGQ-UHFFFAOYSA-N,658,0.4553230990735862,DBNWBEGCONIRGQ-UHFFFAOYSA-N_conf658.npy
38,C7,"1,1-diphenylacetone",DBNWBEGCONIRGQ-UHFFFAOYSA-N,895,0.4553230990735862,DBNWBEGCONIRGQ-UHFFFAOYSA-N_conf895.npy
38,C7,"1,1-diphenylacetone",DBNWBEGCONIRGQ-UHFFFAOYSA-N,224,0.0446769009264137,DBNWBEGCONIRGQ-UHFFFAOYSA-N_conf224.npy
38,C7,"1,1-diphenylacetone",DBNWBEGCONIRGQ-UHFFFAOYSA-N,471,0.0446769009264137,DBNWBEGCONIRGQ-UHFFFAOYSA-N_conf471.npy
39,C1,2'-acetonaphthone,XSAYZAUNJMRRIR-UHFFFAOYSA-N,345,0.6612157398025397,XSAYZAUNJMRRIR-UHFFFAOYSA-N_conf345.npy
39,C1,2'-acetonaphthone,XSAYZAUNJMRRIR-UHFFFAOYSA-N,90,0.3387842601974603,XSAYZAUNJMRRIR-UHFFFAOYSA-N_conf90.npy
40,D3,"2,2-dimethylcyclopentanone",FTGZMZBYOHMEPS-UHFFFAOYSA-N,326,1.0,FTGZMZBYOHMEPS-UHFFFAOYSA-N_conf326.npy
41,D12(trans),"2,2,6-trimethylcyclohexanone (trans)",ZPVOLGVTNLDBFI-SSDOTTSWSA-N,314,0.9923441249809696,ZPVOLGVTNLDBFI-SSDOTTSWSA-N_conf314.npy
41,D12(trans),"2,2,6-trimethylcyclohexanone (trans)",ZPVOLGVTNLDBFI-SSDOTTSWSA-N,110,0.0049482816419205,ZPVOLGVTNLDBFI-SSDOTTSWSA-N_conf110.npy
41,D12(trans),"2,2,6-trimethylcyclohexanone (trans)",ZPVOLGVTNLDBFI-SSDOTTSWSA-N,524,0.0026531955194725,ZPVOLGVTNLDBFI-SSDOTTSWSA-N_conf524.npy
41,D12(trans),"2,2,6-trimethylcyclohexanone (trans)",ZPVOLGVTNLDBFI-SSDOTTSWSA-N,159,5.439785763733458e-05,ZPVOLGVTNLDBFI-SSDOTTSWSA-N_conf159.npy
42,D12(cis),"2,2,6-Trimethylcyclohexanone-2",ZPVOLGVTNLDBFI-ZETCQYMHSA-N,50,0.9923441249809696,ZPVOLGVTNLDBFI-ZETCQYMHSA-N_conf50.npy
42,D12(cis),"2,2,6-Trimethylcyclohexanone-2",ZPVOLGVTNLDBFI-ZETCQYMHSA-N,250,0.0049482816419205,ZPVOLGVTNLDBFI-ZETCQYMHSA-N_conf250.npy
42,D12(cis),"2,2,6-Trimethylcyclohexanone-2",ZPVOLGVTNLDBFI-ZETCQYMHSA-N,491,0.0026531955194725,ZPVOLGVTNLDBFI-ZETCQYMHSA-N_conf491.npy
42,D12(cis),"2,2,6-Trimethylcyclohexanone-2",ZPVOLGVTNLDBFI-ZETCQYMHSA-N,122,5.439785763733458e-05,ZPVOLGVTNLDBFI-ZETCQYMHSA-N_conf122.npy
43,C9,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,172,0.2400039407243132,WSGCRAOTEDLMFQ-CDYZYAPPSA-N_conf172.npy
43,C9,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,236,0.2400039407243132,WSGCRAOTEDLMFQ-CDYZYAPPSA-N_conf236.npy
43,C9,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,698,0.2400039407243132,WSGCRAOTEDLMFQ-CDYZYAPPSA-N_conf698.npy
43,C9,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,715,0.2400039407243132,WSGCRAOTEDLMFQ-CDYZYAPPSA-N_conf715.npy
43,C9,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,590,0.0399842371027469,WSGCRAOTEDLMFQ-CDYZYAPPSA-N_conf590.npy
44,D14,"3,3,5,5-tetramethylcyclohexan-1-one",OQJMHUOCLRCSED-HOSYLAQJSA-N,65,0.4949104721099701,OQJMHUOCLRCSED-HOSYLAQJSA-N_conf65.npy
44,D14,"3,3,5,5-tetramethylcyclohexan-1-one",OQJMHUOCLRCSED-HOSYLAQJSA-N,803,0.4949104721099701,OQJMHUOCLRCSED-HOSYLAQJSA-N_conf803.npy
44,D14,"3,3,5,5-tetramethylcyclohexan-1-one",OQJMHUOCLRCSED-HOSYLAQJSA-N,136,0.0050895278900298,OQJMHUOCLRCSED-HOSYLAQJSA-N_conf136.npy
44,D14,"3,3,5,5-tetramethylcyclohexan-1-one",OQJMHUOCLRCSED-HOSYLAQJSA-N,21,0.0050895278900298,OQJMHUOCLRCSED-HOSYLAQJSA-N_conf21.npy
45,A1,acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,90,1.0,KWOLFJPFCHCOCG-UHFFFAOYSA-N_conf90.npy
46,A15,isobutyrophenone,BSMGLVDZZMBWQB-UHFFFAOYSA-N,141,0.4981494103898189,BSMGLVDZZMBWQB-UHFFFAOYSA-N_conf141.npy
46,A15,isobutyrophenone,BSMGLVDZZMBWQB-UHFFFAOYSA-N,271,0.4981494103898189,BSMGLVDZZMBWQB-UHFFFAOYSA-N_conf271.npy
46,A15,isobutyrophenone,BSMGLVDZZMBWQB-UHFFFAOYSA-N,122,0.0018505896101809,BSMGLVDZZMBWQB-UHFFFAOYSA-N_conf122.npy
46,A15,isobutyrophenone,BSMGLVDZZMBWQB-UHFFFAOYSA-N,234,0.0018505896101809,BSMGLVDZZMBWQB-UHFFFAOYSA-N_conf234.npy
47,A7,3'-methylacetophenone,FSPSELPMWGWDRY-UHFFFAOYSA-N,261,0.5847579306857439,FSPSELPMWGWDRY-UHFFFAOYSA-N_conf261.npy
47,A7,3'-methylacetophenone,FSPSELPMWGWDRY-UHFFFAOYSA-N,364,0.4152420693142561,FSPSELPMWGWDRY-UHFFFAOYSA-N_conf364.npy
