feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
43,"electronic:grid:(-3, 3, 2)",electronic,grid,-3.0,3.0,2.0,-3.1750632654179998,3.1750632654179998,2.116708843612,4.9641222595176755,-0.0,False,0.18072289156626506,-0.00276546437534901,0.0,-5.744004456567572e-05,-0.0,-0.004946949482744984,1.0,negative,0.0,0.0,0.0,0.0
44,"electronic:grid:(-3, 3, 3)",electronic,grid,-3.0,3.0,3.0,-3.1750632654179998,3.1750632654179998,3.1750632654179998,5.499370892949523,0.0,False,0.012048192771084338,0.0002609709654829279,0.0,0.0,0.0,0.021660590135083015,1.0,positive,0.0,0.0,0.0,0.0
45,"electronic:grid:(-2, 1, -2)",electronic,grid,-2.0,1.0,-2.0,-2.116708843612,1.058354421806,-2.116708843612,3.1750632654179998,-0.0,False,0.012048192771084338,-0.000254841478987409,0.0,0.0,-0.0,-0.021151842755954945,1.0,negative,0.0,0.0,0.0,0.0
46,"electronic:grid:(-2, 1, -1)",electronic,grid,-2.0,1.0,-1.0,-2.116708843612,1.058354421806,-1.058354421806,2.5924283004430175,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
47,"electronic:grid:(-2, 1, 1)",electronic,grid,-2.0,1.0,1.0,-2.116708843612,1.058354421806,1.058354421806,2.5924283004430175,-0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
48,"electronic:grid:(-2, 1, 2)",electronic,grid,-2.0,1.0,2.0,-2.116708843612,1.058354421806,2.116708843612,3.1750632654179998,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
49,"electronic:grid:(-2, 1, 3)",electronic,grid,-2.0,1.0,3.0,-2.116708843612,1.058354421806,3.1750632654179998,3.9599996401752833,-0.0,False,0.060240963855421686,-0.0003131192400713941,0.0,0.0,-0.0,-0.005044403327308969,1.0,negative,0.0,0.0,0.0,0.0
50,"electronic:grid:(-2, 2, -2)",electronic,grid,-2.0,2.0,-2.0,-2.116708843612,2.116708843612,-2.116708843612,3.6662472619663484,0.0718496571766982,True,1.0,0.08117527013949905,0.07558822675652438,0.06582061763068865,0.10340154780729643,0.07558822675652438,1.0,positive,0.19507200411325046,0.15676888852184828,0.5285028076979653,0.0718496571766982
51,"electronic:grid:(-2, 2, -1)",electronic,grid,-2.0,2.0,-1.0,-2.116708843612,2.116708843612,-1.058354421806,3.1750632654179998,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
52,"electronic:grid:(-2, 2, 1)",electronic,grid,-2.0,2.0,1.0,-2.116708843612,2.116708843612,1.058354421806,3.1750632654179998,0.01237281590876427,True,0.6626506024096386,0.011436239800911381,0.009966995384699879,0.0,0.020616407185469962,0.014137163263801303,1.0,positive,0.014855748393020498,0.011460824456183839,0.03751398977145874,0.008198853915446202
