feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
77,"electronic:grid:(1, 1, 1)",electronic,grid,1.0,1.0,1.0,1.058354421806,1.058354421806,1.058354421806,1.8331236309831742,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
78,"electronic:grid:(1, 1, 2)",electronic,grid,1.0,1.0,2.0,1.058354421806,1.058354421806,2.116708843612,2.5924283004430175,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
79,"electronic:grid:(1, 1, 3)",electronic,grid,1.0,1.0,3.0,1.058354421806,1.058354421806,3.1750632654179998,3.510164512344035,0.0,False,0.012048192771084338,0.0004068050186713417,0.0,0.0,0.0,0.03376481654972136,1.0,positive,0.0,0.0,0.0,0.0
80,"electronic:grid:(1, 2, -2)",electronic,grid,1.0,2.0,-2.0,1.058354421806,2.116708843612,-2.116708843612,3.1750632654179998,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
81,"electronic:grid:(1, 2, -1)",electronic,grid,1.0,2.0,-1.0,1.058354421806,2.116708843612,-1.058354421806,2.5924283004430175,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
82,"electronic:grid:(1, 2, 1)",electronic,grid,1.0,2.0,1.0,1.058354421806,2.116708843612,1.058354421806,2.5924283004430175,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
83,"electronic:grid:(1, 2, 2)",electronic,grid,1.0,2.0,2.0,1.058354421806,2.116708843612,2.116708843612,3.1750632654179998,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
84,"electronic:grid:(1, 2, 3)",electronic,grid,1.0,2.0,3.0,1.058354421806,2.116708843612,3.1750632654179998,3.9599996401752833,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
85,"electronic:grid:(1, 3, -2)",electronic,grid,1.0,3.0,-2.0,1.058354421806,3.1750632654179998,-2.116708843612,3.9599996401752833,-0.009561985246992137,True,0.6506024096385542,-0.010184649094041374,-0.006834099430190434,-0.020075021237302103,-0.0,-0.012219489717364324,1.0,negative,0.025962749824019013,0.02092701361523028,0.05358991137590433,0.006221050642621391
86,"electronic:grid:(1, 3, -1)",electronic,grid,1.0,3.0,-1.0,1.058354421806,3.1750632654179998,-1.058354421806,3.510164512344035,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
